Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	1327221850	Resume_All_Global			\Default Work Unit\Resume_All_Global	
	3493516265	Pause_All_Global			\Default Work Unit\Pause_All_Global	
	3679762312	Resume_All			\Default Work Unit\Resume_All	
	3864097025	Pause_All			\Default Work Unit\Pause_All	

Dialogue Event	ID	Name			Wwise Object Path	Notes
	3585983975	Unit_Under_Attack			\Dialogue\Unit_Under_Attack	
	3970659059	Objective_Status			\Dialogue\Objective_Status	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28779853	UNB-HS-HG_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-hs-hg_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	23845
	38027547	WalkieTalkie_OUT_06	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_out_06_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_06	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2005
	54720405	UNB-BM-LO_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-bm-lo_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	13535
	58593093	UNB-GG-ST_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-gg-st_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18136
	61298839	UNB-HS-LO_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-hs-lo_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22965
	62681434	UNB-RH-OS_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-rh-os_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	13869
	99661973	UNA-GG-LO_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-gg-lo_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12564
	109058487	UNA-GG-AL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-gg-al_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	16762
	110186142	UNA-GG-ST_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-gg-st_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19700
	114039653	UNB-DB-FL_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-db-fl_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	13037
	122150048	UNA-HS-ST_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\una-hs-st_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15443
	130972370	WalkieTalkie_OUT_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_out_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1204
	143955854	UNB-DB-CP_01	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\voices\english(us)\unb-db-cp_01_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12645
	152207618	WalkieTalkie_OUT_03	D:\WwiseHome\1.Installers\Wwise_v2013.2.4_build_4836\SDK\samples\IntegrationDemo\WwiseProject\.cache\Mac\sfx\walkietalkie_out_03_61a1d6ac.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1988
